rent,br,ft2
2350.0,2.0,924.0
1981.0,1.0,712.0
2155.0,1.0,625.0
2125.0,1.0,689.0
1989.0,1.0,689.0
2220.0,1.0,689.0
2649.0,2.0,1175.0
2258.0,1.0,769.0
2535.0,2.0,750.0
3200.0,3.0,1424.0
3500.0,4.0,2053.0
3849.0,4.0,2000.0
3350.0,3.0,1692.0
2180.0,1.0,625.0
3000.0,3.0,1386.0
1980.0,1.0,624.0
2450.0,2.0,949.0
1990.0,1.0,625.0
3000.0,2.0,1314.0
3650.0,3.0,1775.0
2631.0,2.0,1175.0
2696.0,2.0,1175.0
2646.0,2.0,1175.0
2721.0,2.0,1175.0
2696.0,2.0,1175.0
2696.0,2.0,1175.0
2500.0,2.0,949.0
2636.0,2.0,1175.0
2616.0,2.0,1175.0
2575.0,2.0,990.0
4200.0,5.0,2349.0
4300.0,4.0,2434.0
5000.0,4.0,3828.0
2425.0,2.0,831.0
4400.0,4.0,2550.0
3098.0,2.0,1579.0
2520.0,2.0,901.0
3550.0,3.0,1675.0
2425.0,2.0,831.0
3600.0,3.0,1859.0
2750.0,2.0,1050.0
1850.0,1.0,652.0
3400.0,3.0,1562.0
3950.0,4.0,1880.0
2250.0,1.0,800.0
1895.0,1.0,624.0
2100.0,1.0,625.0
3400.0,4.0,1550.0
2495.0,2.0,995.0
2650.0,2.0,1150.0
3500.0,3.0,1500.0
3550.0,3.0,1433.0
2425.0,2.0,831.0
4550.0,3.0,1678.0
4400.0,4.0,2793.0
3000.0,2.0,1232.0
4450.0,4.0,2758.0
2670.0,2.0,901.0
3250.0,3.0,1400.0
2425.0,2.0,831.0
2650.0,2.0,1150.0
2650.0,2.0,1150.0
3700.0,4.0,1900.0
3650.0,4.0,2360.0
2650.0,2.0,1150.0
3300.0,3.0,1532.0
7200.0,5.0,4400.0
2493.0,2.0,943.0
2650.0,2.0,1100.0
2499.0,2.0,901.0
2446.0,2.0,938.0
3800.0,3.0,2100.0
2399.0,2.0,901.0
1989.0,1.0,684.0
2650.0,2.0,1100.0
2600.0,2.0,976.0
4200.0,4.0,1500.0
2450.0,2.0,950.0
2039.0,1.0,727.0
2585.0,2.0,1057.0
2136.0,1.0,575.0
2651.0,2.0,900.0
2640.0,2.0,1100.0
2950.0,3.0,1300.0
2922.0,3.0,1199.0
2718.0,2.0,1029.0
2385.0,2.0,850.0
2160.0,1.0,650.0
1995.0,1.0,671.0
2396.0,2.0,901.0
2396.0,2.0,901.0
2718.0,2.0,1029.0
3600.0,4.0,1550.0
2585.0,2.0,1073.0
2930.0,3.0,1208.0
2595.0,2.0,1073.0
2605.0,2.0,1073.0
2930.0,3.0,1208.0
2605.0,2.0,1073.0
2930.0,3.0,1208.0
2605.0,2.0,1073.0
2553.0,2.0,901.0
2350.0,2.0,800.0
2400.0,2.0,800.0
2385.0,2.0,800.0
2160.0,1.0,650.0
2800.0,3.0,1636.0
2275.0,2.0,946.0
1989.0,1.0,684.0
2396.0,2.0,705.0
2922.0,3.0,1199.0
4200.0,4.0,2600.0
2446.0,2.0,943.0
3100.0,3.0,1000.0
2396.0,2.0,901.0
2675.0,2.0,943.0
2640.0,2.0,1100.0
2800.0,2.0,1057.0
2725.0,2.0,920.0
2396.0,2.0,900.0
2200.0,1.0,705.0
3500.0,2.0,1364.0
1895.0,1.0,400.0
1989.0,1.0,684.0
1999.0,1.0,705.0
1995.0,1.0,650.0
1843.0,1.0,775.0
1843.0,1.0,775.0
2565.0,2.0,900.0
2575.0,1.0,801.0
2750.0,2.0,1340.0
3097.0,2.0,1115.0
2745.0,2.0,1057.0
2075.0,1.0,801.0
2600.0,2.0,808.0
2275.0,4.0,2890.0
2197.0,2.0,956.0
4950.0,2.0,1073.0
2249.0,3.0,1208.0
2585.0,2.0,1073.0
2930.0,3.0,1208.0
2595.0,1.0,650.0
2930.0,1.0,701.0
2155.0,2.0,901.0
2320.0,1.0,650.0
2520.0,2.0,800.0
2160.0,2.0,850.0
2400.0,3.0,1212.0
2385.0,4.0,2487.0
2827.0,2.0,1100.0
5995.0,2.0,1340.0
2550.0,2.0,901.0
2750.0,1.0,575.0
2396.0,3.0,2100.0
2000.0,3.0,2100.0
3800.0,3.0,2100.0
3800.0,3.0,2100.0
3800.0,2.0,943.0
2446.0,2.0,1340.0
2146.0,1.0,650.0
2155.0,2.0,800.0
3050.0,2.0,800.0
2350.0,1.0,705.0
2350.0,1.0,775.0
1999.0,2.0,1073.0
1993.0,2.0,950.0
2585.0,2.0,901.0
3400.0,2.0,1100.0
2251.0,2.0,1100.0
2645.0,2.0,1100.0
2665.0,2.0,901.0
2645.0,1.0,701.0
2520.0,1.0,650.0
2320.0,1.0,730.0
1995.0,1.0,617.0
2100.0,1.0,775.0
1845.0,2.0,1052.0
2455.0,3.0,1238.0
3050.0,1.0,650.0
2155.0,1.0,650.0
3950.0,2.0,800.0
2160.0,1.0,650.0
2160.0,4.0,1899.0
2350.0,2.0,901.0
3600.0,2.0,901.0
2520.0,1.0,611.0
2520.0,4.0,3350.0
1900.0,2.0,800.0
5400.0,1.0,701.0
2050.0,2.0,901.0
2850.0,2.0,1100.0
2320.0,2.0,808.0
2640.0,3.0,2500.0
2197.0,2.0,950.0
2170.0,4.0,1600.0
2249.0,4.0,3420.0
3600.0,2.0,1100.0
2995.0,2.0,850.0
4800.0,2.0,1100.0
2645.0,2.0,831.0
3050.0,2.0,701.0
2645.0,2.0,901.0
2320.0,2.0,1100.0
2520.0,2.0,1073.0
1850.0,2.0,901.0
2640.0,2.0,901.0
2550.0,2.0,1073.0
2170.0,2.0,856.0
2495.0,2.0,875.0
2495.0,2.0,875.0
2495.0,4.0,2000.0
4000.0,3.0,2031.0
3895.0,3.0,2180.0
3750.0,4.0,2536.0
